username,repo_name,stars,repo_url
,jaywcjlove,30900,https://github.com/jaywcjlove
,refined-github,24200,https://github.com/refined-github
,openai-translator,23500,https://github.com/openai-translator
,darkreader,19400,https://github.com/darkreader
,dailydotdev,17900,https://github.com/dailydotdev
,checkly,15000,https://github.com/checkly
,gildas-lormeau,14700,https://github.com/gildas-lormeau
unbug,codelf,14100,https://github.com/unbug/codelf
immersive-translate,immersive-translate,14000,https://github.com/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12500,https://github.com/Anarios/return-youtube-dislike
,crimx,11900,https://github.com/crimx
,alyssaxuu,11600,https://github.com/alyssaxuu
listen1,listen1_chrome_extension,11400,https://github.com/listen1/listen1_chrome_extension
AutomaApp,automa,11200,https://github.com/AutomaApp/automa
,PlasmoHQ,10100,https://github.com/PlasmoHQ
chathub-dev,chathub,9900,https://github.com/chathub-dev/chathub
josStorer,chatGPTBox,9900,https://github.com/josStorer/chatGPTBox
ajayyy,SponsorBlock,9700,https://github.com/ajayyy/SponsorBlock
,xifangczy,8900,https://github.com/xifangczy
