username,repo_name,stars,repo_url
,jlevy,152000,https://github.com/jlevy
,nvm-sh,78600,https://github.com/nvm-sh
,junegunn,63600,https://github.com/junegunn
,starship,44100,https://github.com/starship
,google,42800,https://github.com/google
LeCoupa,awesome-cheatsheets,39400,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,38400,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36400,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,36000,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,32500,https://github.com/alebcay/awesome-shell
,jaywcjlove,30900,https://github.com/jaywcjlove
mathiasbynens,dotfiles,30100,https://github.com/mathiasbynens/dotfiles
,withfig,24500,https://github.com/withfig
kingToolbox,WindTerm,22500,https://github.com/kingToolbox/WindTerm
dylanaraps,neofetch,21900,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,21500,https://github.com/asdf-vm/asdf
,ajeetdsouza,21500,https://github.com/ajeetdsouza
,warpdotdev,20800,https://github.com/warpdotdev
atuinsh,atuin,20000,https://github.com/atuinsh/atuin
Nyr,openvpn-install,19000,https://github.com/Nyr/openvpn-install
